dt,Interval_Sum,GreenInterval_Sum,KWh_total,RedInterval_Sum
2022-03-04 12:00:00,0.0625,0.0,1.5252083333333333,62.5
2022-03-04 13:00:00,0.10124999999999995,0.0,1.8793020833333332,101.24999999999994
2022-03-04 14:00:00,0.1200000000000001,0.0,2.2581249999999997,120.00000000000011
2022-03-04 15:00:00,0.11125000000000007,0.0,2.6609375,111.25000000000006
2022-03-04 16:00:00,0.08999999999999986,0.0,3.09875,89.99999999999986
2022-03-04 17:00:00,0.08374999999999999,0.0,3.5225625000000003,83.74999999999997
2022-03-04 18:00:00,0.11499999999999999,0.0,3.928583333333333,114.99999999999997
2022-03-04 19:00:00,0.11499999999999999,0.0,4.3064583333333335,115.0
2022-03-04 20:00:00,0.09875000000000012,0.0,4.6970833333333335,98.75000000000011
2022-03-04 21:00:00,0.08499999999999996,0.0,5.104375,84.99999999999997
2022-03-04 22:00:00,0.08624999999999994,86.24999999999993,5.529145833333333,0.0
2022-03-04 23:00:00,0.1200000000000001,120.0000000000001,5.9189791666666665,0.0
2022-03-05 00:00:00,0.11249999999999982,112.4999999999998,6.297375,0.0
2022-03-05 01:00:00,0.08750000000000013,87.50000000000011,6.683,0.0
2022-03-05 02:00:00,0.08125000000000004,81.25000000000004,7.094312500000001,0.0
2022-03-05 03:00:00,0.09499999999999997,94.99999999999997,7.500895833333334,0.0
2022-03-05 04:00:00,0.11625000000000019,116.25000000000018,7.875770833333334,0.0
2022-03-05 05:00:00,0.10749999999999993,107.49999999999994,8.246520833333333,0.0
2022-03-05 06:00:00,0.08249999999999957,82.49999999999957,8.637604166666666,0.0
2022-03-05 07:00:00,0.08250000000000046,82.50000000000045,9.049270833333333,0.0
2022-03-05 08:00:00,0.09999999999999964,99.99999999999964,9.442958333333333,0.0
2022-03-05 09:00:00,0.11624999999999996,116.24999999999997,9.826416666666665,0.0
2022-03-05 10:00:00,0.11000000000000032,110.00000000000031,10.198479166666665,0.0
2022-03-05 11:00:00,0.08124999999999982,81.24999999999983,10.609541666666665,0.0
2022-03-05 12:00:00,0.08999999999999986,89.99999999999986,11.019583333333333,0.0
2022-03-05 13:00:00,0.10500000000000043,105.00000000000044,11.440270833333335,0.0
2022-03-05 14:00:00,0.12249999999999961,122.4999999999996,11.822604166666665,0.0
2022-03-05 15:00:00,0.0950000000000002,95.0000000000002,12.205166666666667,0.0
2022-03-05 16:00:00,0.08499999999999996,84.99999999999997,12.609375,0.0
2022-03-05 17:00:00,0.08125000000000027,81.25000000000027,13.017458333333334,0.0
2022-03-05 18:00:00,0.11624999999999996,116.24999999999997,13.412062500000001,0.0
2022-03-05 19:00:00,0.11249999999999982,112.49999999999982,13.7771875,0.0
2022-03-05 20:00:00,0.09250000000000025,92.50000000000026,14.164229166666665,0.0
2022-03-05 21:00:00,0.07874999999999943,78.74999999999943,14.559208333333332,0.0
2022-03-05 22:00:00,0.0887500000000001,88.75000000000011,14.973229166666666,0.0
2022-03-05 23:00:00,0.11375000000000002,113.75000000000003,15.342333333333332,0.0
2022-03-06 00:00:00,0.11375000000000002,113.75000000000003,15.722145833333332,0.0
2022-03-06 01:00:00,0.0887500000000001,88.75000000000011,16.0925,0.0
2022-03-06 02:00:00,0.07749999999999968,77.49999999999969,16.498874999999998,0.0
2022-03-06 03:00:00,0.08999999999999986,89.99999999999986,16.8935625,0.0
2022-03-06 04:00:00,0.11000000000000032,110.00000000000031,17.280583333333333,0.0
2022-03-06 05:00:00,0.11875000000000036,118.75000000000036,17.64420833333333,0.0
2022-03-06 06:00:00,0.07999999999999918,79.99999999999918,18.02370833333333,0.0
2022-03-06 07:00:00,0.08375000000000021,83.75000000000021,18.423583333333333,0.0
2022-03-06 08:00:00,0.08750000000000036,87.50000000000036,18.82475,0.0
2022-03-06 09:00:00,0.12124999999999986,121.24999999999986,19.200979166666666,0.0
2022-03-06 10:00:00,0.10500000000000043,105.00000000000043,19.566395833333335,0.0
2022-03-06 11:00:00,0.08499999999999908,84.99999999999908,19.966874999999998,0.0
2022-03-06 12:00:00,0.07875000000000121,78.75000000000121,20.360875,0.0
2022-03-06 13:00:00,0.09999999999999964,99.99999999999964,20.762770833333335,0.0
2022-03-06 14:00:00,0.11374999999999957,113.74999999999957,21.129833333333334,0.0
2022-03-06 15:00:00,0.10625000000000018,106.25000000000017,21.504895833333332,0.0
2022-03-06 16:00:00,0.08374999999999932,83.74999999999932,21.898395833333332,0.0
2022-03-06 17:00:00,0.13500000000000068,135.00000000000068,22.33833333333333,0.0
2022-03-06 18:00:00,0.5375000000000005,537.5000000000005,24.018020833333335,0.0
2022-03-06 19:00:00,0.4037499999999996,403.74999999999966,25.436458333333334,0.0
2022-03-06 20:00:00,0.1849999999999996,184.9999999999996,26.752895833333334,0.0
2022-03-06 21:00:00,0.32624999999999993,326.24999999999994,27.857854166666666,0.0
2022-03-06 22:00:00,0.2662500000000012,266.2500000000012,29.139229166666667,0.0
2022-03-06 23:00:00,0.12374999999999936,123.74999999999936,29.723770833333333,0.0
2022-03-07 00:00:00,0.10500000000000043,105.00000000000043,30.210208333333334,0.0
2022-03-07 01:00:00,0.09749999999999925,97.49999999999926,30.692208333333337,0.0
2022-03-07 02:00:00,0.13999999999999968,139.9999999999997,31.1523125,0.0
2022-03-07 03:00:00,0.12375000000000114,123.75000000000114,31.578125,0.0
2022-03-07 04:00:00,0.10124999999999851,101.24999999999851,32.071625,0.0
2022-03-07 05:00:00,0.370000000000001,0.0,32.8468125,370.000000000001
